Well,Status,abts,hrp,gox,glucose,Slope,Iteration
A1,TRUE,16.25,43.75,18.75,23.75,0.000225111,1
B1,TRUE,48.75,28.75,31.25,26.25,0.000204,1
C1,TRUE,41.25,33.75,33.75,28.75,0.000269444,1
D1,TRUE,11.25,21.25,21.25,13.75,0.000116667,1
E1,TRUE,46.25,46.25,16.25,21.25,0.000191,1
F1,TRUE,31.25,41.25,38.75,33.75,0.000285889,1
G1,TRUE,13.75,13.75,28.75,46.25,0.000232222,1
H1,TRUE,18.75,18.75,46.25,18.75,0.000178667,1
A2,TRUE,36.25,16.25,48.75,43.75,0.000238444,1
B2,TRUE,43.75,38.75,41.25,31.25,0.000265667,1
C2,TRUE,33.75,48.75,36.25,38.75,0.000302,1
D2,TRUE,23.75,23.75,11.25,48.75,0.000230222,1
E2,TRUE,26.25,36.25,43.75,41.25,0.000389222,1
F2,TRUE,38.75,26.25,23.75,36.25,0.000216444,1
G2,TRUE,28.75,31.25,13.75,16.25,7.64E-05,1
H2,TRUE,21.25,11.25,26.25,11.25,8.43E-05,1
A3,TRUE,10,34.61538462,19.23076923,50,0.000390889,2
B3,TRUE,40.76923077,44.87179487,40.76923077,10,0.000348667,2
C3,TRUE,41.79487179,44.87179487,48.97435897,10,0.000343556,2
D3,TRUE,48.97435897,45.8974359,41.79487179,10,0.000193556,2
E3,TRUE,14.1025641,34.61538462,30.51282051,50,0.000420222,2
F3,TRUE,46.92307692,45.8974359,46.92307692,10,0.000175889,2
G3,TRUE,10,33.58974359,42.82051282,50,0.000602556,3
H3,TRUE,24.35897436,34.61538462,15.12820513,50,0.000333889,3
A4,TRUE,23.33333333,34.61538462,14.1025641,50,0.000308778,3
B4,TRUE,11.02564103,33.58974359,43.84615385,50,0.000604556,3
C4,TRUE,18.20512821,33.58974359,50,50,0.000532111,3
D4,TRUE,15.12820513,33.58974359,46.92307692,50,0.000490556,3
E4,TRUE,10,33.58974359,44.87179487,50,0.000635333,4
F4,TRUE,27.43589744,34.61538462,17.17948718,50,0.000346111,4
G4,TRUE,25.38461538,34.61538462,15.12820513,50,0.000351556,4
H4,TRUE,11.02564103,33.58974359,44.87179487,50,0.000534111,4
A5,TRUE,18.20512821,33.58974359,50,50,0.000488556,4
B5,TRUE,15.12820513,33.58974359,47.94871795,50,0.000494333,4
C5,TRUE,10,33.58974359,44.87179487,50,0.000668,5
D5,TRUE,27.43589744,34.61538462,17.17948718,50,0.000379556,5
E5,TRUE,25.38461538,34.61538462,15.12820513,50,0.000334222,5
F5,TRUE,11.02564103,33.58974359,44.87179487,50,0.000543667,5
G5,TRUE,18.20512821,33.58974359,50,50,0.000502778,5
H5,TRUE,15.12820513,33.58974359,47.94871795,50,0.000475333,5
A6,FALSE,10,33.58974359,44.87179487,50,0.000605444,
B6,FALSE,27.43589744,34.61538462,16.15384615,50,0.000331444,
C6,FALSE,25.38461538,34.61538462,14.1025641,50,0.000316889,
D6,FALSE,11.02564103,33.58974359,44.87179487,50,0.000449556,
E6,FALSE,18.20512821,33.58974359,50,50,0.000473333,
F6,FALSE,15.12820513,33.58974359,47.94871795,50,0.000436111,
G6,FALSE,10,33.58974359,44.87179487,50,,
H6,FALSE,27.43589744,34.61538462,17.17948718,50,,
A7,FALSE,25.38461538,34.61538462,15.12820513,50,,
B7,FALSE,11.02564103,33.58974359,45.8974359,50,,
C7,FALSE,18.20512821,33.58974359,50,50,,
D7,FALSE,15.12820513,33.58974359,47.94871795,50,,
E7,FALSE,,,,,,
F7,FALSE,,,,,,
G7,FALSE,,,,,,
H7,FALSE,,,,,,
A8,FALSE,,,,,,
B8,FALSE,,,,,,
C8,FALSE,,,,,,
D8,FALSE,,,,,,
E8,FALSE,,,,,,
F8,FALSE,,,,,,
G8,FALSE,,,,,,
H8,FALSE,,,,,,
A9,FALSE,,,,,,
B9,FALSE,,,,,,
C9,FALSE,,,,,,
D9,FALSE,,,,,,
E9,FALSE,,,,,,
F9,FALSE,,,,,,
G9,FALSE,,,,,,
H9,FALSE,,,,,,
A10,FALSE,,,,,,
B10,FALSE,,,,,,
C10,FALSE,,,,,,
D10,FALSE,,,,,,
E10,FALSE,,,,,,
F10,FALSE,,,,,,
G10,FALSE,,,,,,
H10,FALSE,,,,,,
A11,FALSE,,,,,,
B11,FALSE,,,,,,
C11,FALSE,,,,,,
D11,FALSE,,,,,,
E11,FALSE,,,,,,
F11,FALSE,,,,,,
G11,FALSE,,,,,,
H11,FALSE,,,,,,
A12,FALSE,,,,,,
B12,FALSE,,,,,,
C12,FALSE,,,,,,
D12,FALSE,,,,,,
E12,FALSE,,,,,,
F12,FALSE,,,,,,
G12,FALSE,,,,,,
H12,FALSE,,,,,,
